page,output_path,area,confidence
10,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_10_0.jpg,791198,0.9697533845901489
10,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_10_1.jpg,861238,0.968867301940918
11,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_11_0.jpg,783558,0.9655560255050659
11,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_11_1.jpg,871080,0.9625206589698792
12,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_12_0.jpg,803530,0.9677246809005737
12,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_12_1.jpg,551768,0.9639006853103638
13,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_13_0.jpg,568928,0.9670423865318298
13,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_13_1.jpg,541530,0.9539811611175537
14,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_14_0.jpg,762540,0.9686379432678223
14,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_14_1.jpg,847800,0.9680249691009521
15,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_15_0.jpg,806925,0.9678506255149841
15,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_15_1.jpg,871956,0.9636907577514648
16,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_16_0.jpg,828405,0.9661496877670288
16,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_16_1.jpg,991463,0.9595587849617004
17,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_17_0.jpg,829896,0.9669596552848816
17,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_17_1.jpg,849620,0.965349018573761
18,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_18_0.jpg,927135,0.9668440818786621
18,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_18_1.jpg,923500,0.9662385582923889
19,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_19_0.jpg,839040,0.9694147706031799
19,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_19_1.jpg,927630,0.9683716893196106
2,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_2_0.jpg,1858632,0.9399697780609131
20,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_20_0.jpg,274302,0.7816332578659058
3,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_3_0.jpg,677304,0.9638360142707825
3,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_3_1.jpg,643163,0.9637787938117981
4,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_4_0.jpg,769080,0.9682138562202454
4,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_4_1.jpg,723976,0.9674950838088989
5,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_5_0.jpg,807576,0.9705747961997986
5,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_5_1.jpg,685959,0.9658287167549133
6,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_6_0.jpg,760320,0.9690163731575012
6,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_6_1.jpg,626940,0.966053307056427
7,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_7_0.jpg,629722,0.9614742398262024
7,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_7_1.jpg,648342,0.9586683511734009
8,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_8_0.jpg,801016,0.967843234539032
8,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_8_1.jpg,868815,0.9610409140586853
9,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_9_0.jpg,687980,0.9654566049575806
9,/content/drive/Shareddrives/NLP - Text2Img/ảnh trích sách lịch sử/luoc_su_nuoc_Viet_bang_tranh/luoc_su_nuoc_viet_bang_tranh_9_1.jpg,618396,0.9645496010780334
